source,target,relation,weight,directed
point_set_topology,hausdorff_spaces,refines,4,true
point_set_topology,continuity_topological,founds,3,true
continuity,continuity_topological,generalizes,4,true
point_set_topology,compactness,defines,4,true
compactness,heine_borel,characterized_by,4,true
point_set_topology,connectedness,defines,3,true
continuity_topological,homotopy,founds,4,true
homotopy,covering_spaces,classified_by,6,true
homotopy,van_kampen_theorem,computed_via,6,true
covering_spaces,van_kampen_theorem,used_in,6,true
homotopy,homology_theory,generalized_by,5,true
homology_theory,cohomology_theory,dualized_by,7,true
homology_theory,eilenberg_steenrod_axioms,axiomatized_by,8,true
cohomology_theory,eilenberg_steenrod_axioms,axiomatized_by,8,true
homotopy,homotopy_groups_higher,generalized_by,7,true
differential_manifolds,fiber_bundles,generalizes_to,7,true
fiber_bundles,characteristic_classes,classified_by,8,true
cohomology_theory,characteristic_classes,valued_in,8,true
k_theory,characteristic_classes,generalizes,8,true
fiber_bundles,k_theory,classifies,9,true
k_theory,atiyah_singer_index,used_in,9,true
de_rham_cohomology,atiyah_singer_index,connects_to,9,true
homotopy,poincare_conjecture,motivates,8,true
differential_manifolds,poincare_conjecture,concerns,8,true
classification_surfaces,poincare_conjecture,motivates_3d_analog,7,true
homology_theory,classification_surfaces,used_in,6,true
riemannian_geometry,ricci_flow_hamilton,used_in,8,true
curvature_tensor_ricci,ricci_flow_hamilton,evolves,8,true
ricci_flow_hamilton,perelman_ricci_flow,completed_by,9,true
poincare_conjecture,perelman_ricci_flow,proved_by,10,true
perelman_ricci_flow,geometrization_conjecture,proves,10,true
poincare_conjecture,geometrization_conjecture,special_case_of,8,true
classification_3manifolds,geometrization_conjecture,resolved_by,9,true
classification_surfaces,classification_3manifolds,generalizes_to,8,true
differential_manifolds,smooth_4manifolds,specializes,8,true
k_theory,smooth_4manifolds,used_in,9,true
homotopy_groups_higher,exotic_spheres,motivates,8,true
differential_manifolds,exotic_spheres,concerns,8,true
graph_definitions,knot_theory,generalizes_to,5,true
homology_theory,knot_theory,used_in,6,true
knot_theory,jones_polynomial,invariant_of,7,true
representation_theory,jones_polynomial,used_in,7,true
homology_theory,hodge_theory,refined_by,8,true
de_rham_cohomology,hodge_theory,decomposed_by,8,true
hodge_theory,hodge_conjecture,motivates,9,true
algebraic_geometry_varieties,hodge_conjecture,concerns,8,true
rings_axioms,algebraic_geometry_varieties,founds,5,true
nullstellensatz,algebraic_geometry_varieties,founds,6,true
algebraic_geometry_varieties,projective_varieties,specializes,6,true
projective_geometry,projective_varieties,founds,5,true
projective_varieties,bezout_theorem_ag,satisfies,6,true
riemann_surfaces,riemann_roch_theorem,concerns,7,true
bezout_theorem_ag,riemann_roch_theorem,connects_to,7,true
riemann_roch_theorem,grothendieck_riemann_roch,generalized_by,9,true
algebraic_geometry_varieties,grothendieck_schemes,generalizes,8,true
grothendieck_schemes,grothendieck_riemann_roch,used_in,9,true
category_theory,sheaf_theory,used_in,7,true
sheaf_theory,grothendieck_schemes,founds,8,true
sheaf_theory,etale_cohomology,generalized_by,9,true
grothendieck_schemes,etale_cohomology,founds,9,true
finite_fields,weil_conjectures,concerns,6,true
etale_cohomology,weil_conjectures,proves,9,true
grothendieck_schemes,weil_conjectures,proves,9,true
homology_theory,weil_conjectures,used_in,8,true
weil_conjectures,deligne_weil_proof,completed_by,10,true
riemann_hypothesis,deligne_weil_proof,analogous_to,8,true
algebraic_geometry_varieties,moduli_spaces,generalizes_to,8,true
elliptic_curves,moduli_spaces,example_of,7,true
algebraic_geometry_varieties,mirror_symmetry,concerns,8,true
category_theory,mirror_symmetry,used_in,7,true
calabi_conjecture,calabi_yau_manifolds,proves_existence_of,9,true
riemannian_geometry,calabi_conjecture,concerns,8,true
calabi_yau_manifolds,mirror_symmetry,central_to,9,true
minimal_model_program,algebraic_geometry_varieties,classifies,9,true
grothendieck_schemes,minimal_model_program,used_in,9,true
derivative_def,ode_basics,founds,3,true
ode_basics,picard_lindelof,proves,4,true
banach_fixed_point,picard_lindelof,used_in,4,true
ode_basics,linear_odes_systems,specializes,4,true
matrix_algebra,linear_odes_systems,used_in,4,true
ode_basics,pde_basics,generalized_by,4,true
pde_basics,laplace_equation,specializes,4,true
pde_basics,heat_equation,specializes,4,true
pde_basics,wave_equation,specializes,4,true
fourier_analysis,heat_equation,solves,5,true
fourier_analysis,wave_equation,solves,5,true
heat_equation,separation_of_variables,solved_by,3,true
wave_equation,separation_of_variables,solved_by,3,true
separation_of_variables,sturm_liouville_theory,generalized_by,6,true
orthonormal_bases,sturm_liouville_theory,used_in,5,true
laplace_equation,greens_functions,solved_by,5,true
distributions_generalized_fns,greens_functions,formalized_by,5,true
elliptic_pde_theory,laplace_equation,generalizes,6,true
sobolev_spaces,weak_solutions_pde,used_in,6,true
distributions_generalized_fns,weak_solutions_pde,founds,6,true
weak_solutions_pde,elliptic_pde_theory,used_in,7,true
sobolev_spaces,sobolev_embedding,proves,7,true
sobolev_embedding,elliptic_pde_theory,used_in,7,true
euler_fluid_equations,navier_stokes_eqs,extended_by,6,true
pde_basics,navier_stokes_eqs,specializes,6,true
weak_solutions_pde,navier_stokes_eqs,used_in,7,true
navier_stokes_eqs,navier_stokes,poses,10,true
sobolev_spaces,navier_stokes,used_in,8,true
fundamental_thm_calculus,navier_stokes,founds,5,true
functional_analysis_basics,navier_stokes,used_in,6,true
vector_spaces,maxwell_equations,formalizes,4,true
differential_forms,maxwell_equations,reformulates,6,true
calculus_of_variations,classical_mechanics_lagrangian,founds,5,true
euler_lagrange_eq,classical_mechanics_lagrangian,governs,5,true
classical_mechanics_lagrangian,hamiltonian_mechanics,reformulated_as,6,true
hamiltonian_mechanics,symplectic_geometry,founds,7,true
differential_forms,symplectic_geometry,used_in,7,true
euler_lagrange_eq,noethers_theorem,generalized_by,7,true
group_axioms,noethers_theorem,used_in,6,true
hilbert_spaces,quantum_mechanics_formalism,founds,7,true
self_adjoint_operators,quantum_mechanics_formalism,represents_observables_in,7,true
quantum_mechanics_formalism,schrodinger_equation,governed_by,6,true
heat_equation,schrodinger_equation,analogous_to,6,true
quantum_mechanics_formalism,quantum_field_theory_math,generalized_by,8,true
distributions_generalized_fns,quantum_field_theory_math,used_in,7,true
lie_groups,gauge_theory,used_in,7,true
fiber_bundles,gauge_theory,formalizes,8,true
gauge_theory,yang_mills_equations,generalizes,8,true
quantum_field_theory_math,yang_mills_equations,used_in,8,true
yang_mills_equations,yang_mills_mass_gap,poses,10,true
lie_groups,yang_mills_mass_gap,founds,7,true
spectral_theory_operators,yang_mills_mass_gap,connects_to,7,true
representation_theory,yang_mills_mass_gap,used_in,7,true
quantum_field_theory_math,string_theory_math,generalized_by,9,true
riemann_surfaces,string_theory_math,used_in,8,true
calabi_yau_manifolds,string_theory_math,used_in,9,true
mirror_symmetry,string_theory_math,arises_in,9,true
counting_principles,classical_probability,founds,2,true
combinatorial_probability,classical_probability,formalizes,2,true
permutations_combinations,combinatorial_probability,used_in,2,true
classical_probability,random_variables,generalized_by,3,true
random_variables,expectation_variance,defines,2,true
classical_probability,bernoulli_law_large_numbers,proves,4,true
bernoulli_law_large_numbers,de_moivre_laplace,sharpened_by,4,true
de_moivre_laplace,normal_distribution,characterizes,3,true
normal_distribution,central_limit_theorem,target_of,5,true
de_moivre_laplace,central_limit_theorem,special_case_of,5,true
measure_theory,kolmogorov_axioms,used_in,5,true
kolmogorov_axioms,probability_measure_spaces,formalized_by,5,true
sigma_algebras,probability_measure_spaces,used_in,5,true
bernoulli_law_large_numbers,strong_law_large_numbers,strengthened_by,6,true
probability_measure_spaces,strong_law_large_numbers,proved_in,6,true
probability_measure_spaces,central_limit_theorem,rigorized_by,6,true
random_variables,random_walks,sequences_of,4,true
random_walks,markov_chains,generalized_by,4,true
random_walks,brownian_motion_math,scaling_limit_of,6,true
measure_theory,brownian_motion_math,used_in,6,true
markov_chains,stochastic_processes,example_of,5,true
brownian_motion_math,stochastic_processes,example_of,5,true
stochastic_processes,martingales,specializes,6,true
martingales,stochastic_calculus_ito,used_in,8,true
lebesgue_integral,stochastic_calculus_ito,generalized_by,7,true
brownian_motion_math,stochastic_calculus_ito,integrated_against,7,true
stochastic_calculus_ito,stochastic_differential_eqs,founds,8,true
ode_basics,stochastic_differential_eqs,generalized_by,6,true
stochastic_differential_eqs,black_scholes,used_in,7,true
heat_equation,black_scholes,analogous_to,6,true
probability_measure_spaces,ergodic_theory,founds,7,true
measure_theory,ergodic_theory,founds,6,true
kolmogorov_axioms,statistical_inference,founds,4,true
classical_probability,bayes_theorem,proves,3,true
statistical_inference,hypothesis_testing,formalized_by,5,true
statistical_inference,maximum_likelihood,specializes,5,true
statistical_inference,regression_analysis,specializes,4,true
maximum_likelihood,information_theory_fisher,analyzed_via,6,true
ode_basics,dynamical_systems_basics,generalized_by,4,true
dynamical_systems_basics,poincare_qualitative_theory,founds,6,true
poincare_qualitative_theory,three_body_problem,motivated_by,8,true
hamiltonian_mechanics,three_body_problem,governs,7,true
three_body_problem,kam_theory,motivates,9,true
stability_theory_odes,dynamical_systems_basics,analyzes,5,true
dynamical_systems_basics,fixed_points_bifurcation,studies,5,true
stability_theory_odes,fixed_points_bifurcation,used_in,5,true
fixed_points_bifurcation,chaos_theory,motivates,6,true
dynamical_systems_basics,chaos_theory,specializes,6,true
chaos_theory,lorenz_attractor,exemplified_by,6,true
navier_stokes_eqs,lorenz_attractor,simplified_model_of,6,true
fixed_points_bifurcation,logistic_map,exemplified_by,5,true
logistic_map,feigenbaum_constants,exhibits,7,true
chaos_theory,feigenbaum_constants,quantified_by,7,true
chaos_theory,fractals_geometry,connects_to,5,true
fractals_geometry,mandelbrot_julia_sets,exemplified_by,7,true
logistic_map,mandelbrot_julia_sets,connects_to,7,true
fractals_geometry,hausdorff_dimension,measured_by,6,true
measure_theory,hausdorff_dimension,generalizes_to,6,true
three_body_problem,kam_theory,resolved_partially_by,9,true
hamiltonian_mechanics,kam_theory,used_in,8,true
dynamical_systems_basics,smale_horseshoe,exemplified_by,7,true
smale_horseshoe,chaos_theory,rigorously_demonstrates,7,true
real_analysis_metric_spaces,numerical_analysis_basics,founds,3,true
derivative_def,newtons_method,used_in,3,true
banach_fixed_point,newtons_method,convergence_analyzed_via,4,true
polynomial_rings,interpolation_theory,used_in,3,true
interpolation_theory,numerical_integration,used_in,4,true
riemann_integral,numerical_integration,approximates,3,true
interpolation_theory,gaussian_quadrature,used_in,5,true
orthonormal_bases,gaussian_quadrature,used_in,5,true
matrix_algebra,numerical_linear_algebra,founds,4,true
euclidean_algorithm,gaussian_elimination,analogous_to,3,true
numerical_linear_algebra,gaussian_elimination,founds,3,true
gaussian_elimination,iterative_methods_linalg,complemented_by,5,true
hilbert_spaces,iterative_methods_linalg,used_in,5,true
pde_basics,finite_difference_methods,discretized_by,5,true
finite_difference_methods,numerical_stability_theory,analyzed_via,6,true
weak_solutions_pde,finite_element_methods,discretized_by,6,true
sobolev_spaces,finite_element_methods,used_in,6,true
numerical_stability_theory,finite_element_methods,governs,6,true
fourier_analysis,fast_fourier_transform,computed_via,6,true
gauss_sums,fast_fourier_transform,precursor_to,5,true
reals_construction,floating_point_arithmetic,approximated_by,4,true
classical_probability,monte_carlo_methods,used_in,5,true
random_walks,monte_carlo_methods,used_in,5,true
calculus_of_variations,optimization_theory,generalizes,4,true
optimization_theory,linear_programming,specializes,5,true
optimization_theory,convex_optimization,specializes,6,true
hahn_banach,convex_optimization,used_in,6,true
euler_lagrange_eq,karush_kuhn_tucker,generalized_by,6,true
convex_optimization,karush_kuhn_tucker,characterized_by,6,true
derivative_def,gradient_descent,used_in,4,true
optimization_theory,gradient_descent,specializes,4,true
babylonian_mathematics,babylonian_quadratics,develops,3,true
babylonian_quadratics,diophantine_equations,precedes,3,true
egyptian_mathematics,egyptian_fractions,develops,2,true
egyptian_fractions,rationals,precedes,2,true
chinese_mathematics_nine_chapters,gaussian_elimination,precedes,4,true
chinese_mathematics_nine_chapters,chinese_remainder_origin,includes,4,true
chinese_remainder_origin,chinese_remainder_thm,originates,4,true
chinese_mathematics_nine_chapters,liu_hui_pi,commented_by,4,true
liu_hui_pi,euclid_axioms_geometry,parallels,3,true
babylonian_mathematics,indian_mathematics_zero,precedes,3,true
indian_mathematics_zero,brahmagupta_rules,formalized_by,4,true
brahmagupta_rules,integers,precedes,3,true
indian_mathematics_zero,aryabhata_trigonometry,includes,4,true
aryabhata_trigonometry,fourier_analysis,distant_precursor_to,3,true
aryabhata_trigonometry,kerala_school_infinite_series,develops_into,6,true
kerala_school_infinite_series,taylor_series,anticipates,6,true
kerala_school_infinite_series,power_series,anticipates,5,true
indian_mathematics_zero,islamic_golden_age_algebra,transmitted_to,4,true
babylonian_quadratics,islamic_golden_age_algebra,systematized_by,5,true
islamic_golden_age_algebra,islamic_algorithm_etymology,named_in,2,true
islamic_golden_age_algebra,diophantine_equations,systematizes,4,true
islamic_golden_age_algebra,omar_khayyam_cubics,extended_by,5,true
islamic_golden_age_algebra,al_karaji_induction,extended_by,4,true
al_karaji_induction,binomial_theorem,precedes,3,true
al_karaji_induction,transfinite_induction,distant_precursor_to,3,true
islamic_golden_age_algebra,fibonacci_liber_abaci,transmitted_via,4,true
indian_mathematics_zero,fibonacci_liber_abaci,transmitted_via,4,true
fibonacci_liber_abaci,fibonacci_sequence,introduces_to_europe,2,true
fibonacci_sequence,continued_fractions,connects_to,3,true
omar_khayyam_cubics,cardano_cubic_formula,precedes,5,true
cardano_cubic_formula,complex_numbers,motivates,4,true
cardano_cubic_formula,ferrari_quartic_formula,extended_by,5,true
ferrari_quartic_formula,abel_ruffini,motivates_search_resolved_by,5,true
